timestamp,page_url,ttfb_ms,load_time_ms,requests_count,core_web_vitals_status,detected_assets
2026-03-21T06:22:17.280429+00:00,/,760,4265,2,poor,https://fitaichat.netlify.app/static/css/main.f8a5623e.css|https://fitaichat.netlify.app/static/js/main.a18236ee.js
2026-03-21T06:22:18.510064+00:00,/chat,218,659,2,good,https://fitaichat.netlify.app/static/css/main.f8a5623e.css|https://fitaichat.netlify.app/static/js/main.a18236ee.js
2026-03-21T06:33:38.207078+00:00,/,346,6423,12,poor,https://civicpulse.in/css/font-awesome.min.css|https://civicpulse.in/assets/css/style-starter.css|https://civicpulse.in/assets/js/jquery.quicksand.js|https://civicpulse.in/assets/js/script.js|https://civicpulse.in/assets/js/jquery-3.3.1.min.js
2026-03-21T06:33:40.660329+00:00,/about,388,1811,7,needs-improvement,https://civicpulse.in/cgi-sys/js/simple-expand.min.js
2026-03-21T06:33:43.153826+00:00,/contact,317,1853,7,needs-improvement,https://civicpulse.in/cgi-sys/js/simple-expand.min.js
2026-03-21T06:36:11.729158+00:00,/,313,731,0,good,
2026-03-21T06:36:13.098488+00:00,/r/python,303,768,0,good,
2026-03-21T06:36:14.407384+00:00,/r/webdev,275,672,0,good,
2026-03-21T06:38:08.105753+00:00,/,406,2271,57,needs-improvement,https://assets.dev.to/assets/minimal-102395aec70cbac5f7d0bd5bebb5b56f0459629c5d224dae16333f11604cbad3.css|https://assets.dev.to/assets/views-daf614dcfafed4955d7758a6a86d63bfbb1e8d4eae8b6317b421e18a99bbe867.css|https://assets.dev.to/assets/crayons-8fce708625aacc3ff4a4d4947252a1cfab954753bb082374c0bed738861b52f2.css|https://assets.dev.to/assets/baseInitializers-2f0777a6d67046056f9f42665560ce072de3801292674358ddbad6e135c1891d.js|https://assets.dev.to/assets/base-37ca257b57ba8b4f17aa132a4cc0d9ce6e91ff8114e8651c2c99499caf104905.js
2026-03-21T06:38:12.484003+00:00,/top/week,533,2979,55,poor,https://assets.dev.to/assets/views-daf614dcfafed4955d7758a6a86d63bfbb1e8d4eae8b6317b421e18a99bbe867.css|https://assets.dev.to/assets/minimal-102395aec70cbac5f7d0bd5bebb5b56f0459629c5d224dae16333f11604cbad3.css|https://assets.dev.to/assets/crayons-8fce708625aacc3ff4a4d4947252a1cfab954753bb082374c0bed738861b52f2.css|https://assets.dev.to/assets/base-37ca257b57ba8b4f17aa132a4cc0d9ce6e91ff8114e8651c2c99499caf104905.js|https://assets.dev.to/assets/baseTracking-b6bf73e5ee66633e151e7d5b7c6bbccedfa4c59e3615be97b98c4c0f543ddae7.js
2026-03-21T06:38:16.520933+00:00,/listings,381,1486,53,needs-improvement,https://assets.dev.to/assets/minimal-38ef7c1d77ce4703c9933f4a7341c47fda3dfe7a3684438074091ad6e2217919.css|https://assets.dev.to/assets/views-c39024a1059d955b68e543c34bfc656efb2a240d268fc9f171f1a18957582a81.css|https://assets.dev.to/assets/crayons-9da8521a7ce3cbf2b48ea811297907525a284963650c9d26fdc4bfe106e7eba9.css|https://assets.dev.to/assets/baseInitializers-2f0777a6d67046056f9f42665560ce072de3801292674358ddbad6e135c1891d.js|https://assets.dev.to/assets/react-dates/lib/css/_datepicker-efc367057e7f65b7734d69877fab4ee5db2e2054b468b8768da4bc8e82c1b059.css
2026-03-21T06:41:58.488425+00:00,/,34,-1774075317897,2,good,
2026-03-21T06:41:59.038645+00:00,/topic/technology,44,-1774075318594,1,good,
2026-03-21T06:41:59.586533+00:00,/topic/programming,40,-1774075319141,1,good,
2026-03-21T06:42:17.465489+00:00,/,66,783,7,good,
2026-03-21T06:42:21.062560+00:00,/topic/technology,46,772,7,good,
2026-03-21T06:42:24.673359+00:00,/topic/programming,42,653,7,good,
2026-03-21T06:42:50.300517+00:00,/,77,-1774075366491,125,good,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/eceb3fae70be61b4.js|https://hashnode.com/_next/static/chunks/59da4c89006371bd.js
2026-03-21T06:42:54.128460+00:00,/explore,300,-1774075371512,65,good,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-21T06:42:57.958235+00:00,/featured,316,-1774075375346,63,good,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js
2026-03-21T06:53:31.737222+00:00,/,496,5859,22,poor,https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-21T06:53:36.768498+00:00,/explore,0,3750,21,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-21T06:53:42.354283+00:00,/featured,0,4452,21,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-22T06:56:00.228404+00:00,/,73,3573,22,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/d96012bcfc98706a.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-22T06:56:03.466987+00:00,/explore,142,3174,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js
2026-03-22T06:56:06.798890+00:00,/featured,110,3283,45,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js
2026-03-23T07:14:25.945500+00:00,/,131,3498,22,poor,https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/73e3194f06db260e.js|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js|https://hashnode.com/_next/static/chunks/e319363365fbd924.js|https://hashnode.com/_next/static/chunks/1227041bc1f8949b.js
2026-03-23T07:14:30.015021+00:00,/explore,132,4023,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-03-23T07:14:33.303128+00:00,/featured,223,3241,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/59da4c89006371bd.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-03-24T07:07:33.898501+00:00,/,323,3613,22,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/d96012bcfc98706a.js|https://hashnode.com/_next/static/chunks/f2e0af829197c917.js|https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/turbopack-30f62fc35629b0a3.js
2026-03-24T07:07:37.335985+00:00,/explore,225,3377,45,poor,https://hashnode.com/_next/static/chunks/5aa6e52e0dd7aea2.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/72cd4bd1e0564c77.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
